artifact_id	filename	theorem_layer	theorem_facing_or_diagnostic	producing_module	producing_command	upstream_artifact_hashes	sha256	status_field	active_assumptions	open_hypotheses	mathematical_role	included_in_minimal_replay	included_in_downstream_replay	included_in_full_replay
A0001	artifacts/final_discharge/stage_cache/theorem_i_ii.json	I--II	theorem-facing	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	e0e6e3eeb73f1d0ebaf20b2754cba1b2ab94150a66889578fd007592bf2fee3e	golden-theorem-i-ii-workstream-lift-conditional-strong	see artifact payload	see artifact payload	Cached theorem-facing workstream package consumed by downstream replay	no	yes	yes
A0002	artifacts/final_discharge/stage_cache/theorem_iii.json	III	theorem-facing	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	b114419bab8177ec458936d0ce0f0f644ce0276f3e7f87ecfac1e193db5ffb18		see artifact payload	see artifact payload	Cached theorem-facing lower-corridor package consumed by downstream replay	no	yes	yes
A0003	artifacts/final_discharge/stage_cache/theorem_iv.json	IV	theorem-facing	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	d02b8a13369fa708a596f95f406eba053b7b56be017f3c001f546d73a139a322	see-large-artifact-payload	see artifact payload	see artifact payload	Cached theorem-facing upper-obstruction package consumed by downstream replay	no	yes	yes
A0004	artifacts/final_discharge/stage_cache/theorem_iv_lower_neighborhood.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	aec22713beeabc3969085077be7257c38c74dd4ceb419abc29656cdd82b8e8d8	golden-lower-neighborhood-stability-moderate	see artifact payload	see artifact payload	Cached IV artifact or support record	no	cache/provenance	yes
A0005	artifacts/final_discharge/stage_cache/theorem_iv_upper_bridge.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	c1a6821a0c321cdc82c17c7b17ab21e8420104e4c18c3c9f82477a6f4d9c9df4	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0006	artifacts/final_discharge/stage_cache/theorem_iv_upper_bridge_profile.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	1809f80b015d4e99b151a2e9afa98eaa42ec16a0c075a3c04ddf2e2d201db923	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0007	artifacts/final_discharge/stage_cache/theorem_iv_upper_bridge_promotion.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	4c02c7292bf216a4839e03b3407bfb092d7504744aac6221c9130f76098b211a	golden-incompatibility-theorem-bridge-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0008	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm1321.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	bedffe784787463a5cda5e4e1aaf74b2b77bcc554bd868c16f22a3a6947d1959	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0009	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm2134.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	d07277c06728ac6ebb4f8509c6e2fbac0514bd3b108b6a30e094438fa26d7f20	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0010	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm3455.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	68ce610ea8150f932d3a4dbff810d15b0fd07c7e1a233a20af061ba533feaf26	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0011	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm5589.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	26d9ce3f131d5f758fe1cb367961647026b64957c5f223fbd1c4bf8a43c580cc	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0012	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_report.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	d12cd3290c53cc7ce21c2009cfef9ef8cb220aa6de35f92043feb90ec092f415	golden-adaptive-incompatibility-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0013	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_tail_transport.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	99f7e04d2e8e135d2029834730ce5c8f5cfdde114c816eeccb34fbaf2c2cebde	golden-theorem-iv-tail-transport-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0014	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0003_goldm1321.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	b51c3c811680c6647ec21c47ccd120836e547c1798ca3af103f72d5f385ccd2e	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0015	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0003_goldm2134.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	df349b047ba17029b2875cbec7240fce53e329569feaf020986cca7a37319736	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0016	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0003_goldm3455.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	519fa93c86710692284a8f25f692f252534807dd9a22289b75833c444a7219d5	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0017	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0003_goldm5589.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	c95063868f8f1efc72b4265a0fad74729b4208f8e91486c99b47dd727a9f01c6	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0018	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0003_report.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	f741893c224d3a6295f69a5724d16378ea68e1e252a07a1f2da20f94b799f9fa	golden-adaptive-incompatibility-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0019	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0003_tail_transport.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	f5e67202d7ab1e7f9653dce71883af519b27a587001fd4347d685d6ef51c8a1c	golden-theorem-iv-tail-transport-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0020	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0006_goldm1321.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	225071b8e22d0c32c5d1ea118ae9ac9fe95ea24c31db19b78e7cda62d3093dd7	band-only	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0021	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0006_goldm2134.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	64b391ded0f633a307ad2dcf56296212ebd647d359e4a833c59a788a0c1ee49a	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0022	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0006_goldm3455.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	1003d2299b451dbe48ff440365abb45e86aa8947207b65e7806a54241785faa2	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0023	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0006_goldm5589.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	6d0ff99370abb72add056122c2dbeb8107951d0d3b38dfe4079da76e84408f8a	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0024	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0006_report.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	eefb3d02c17cb4a6a3a1b399e9d51eb959c99ae1d4a6f165e996071fc4f9d133	golden-adaptive-incompatibility-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0025	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0p0006_tail_transport.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	887cd2529a25ad4add037fd0f80750a37091e5d4c254a3086bc2245c48858cdc	golden-theorem-iv-tail-transport-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0026	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0003_goldm1321.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	83255514bdc71c2d8415e117e5fe6bf139ff707355dbaead7436dbec14b2ff8e	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0027	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0003_goldm2134.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	880f3879692c0a073f3d1862331d73b5e5eef143f70674ecca7ce3f4e71ade89	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0028	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0003_goldm3455.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	512753f217b6b1861cb7987ba07b48fc2ccdfed5a86cd34508a8b37c4363f1cf	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0029	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0003_goldm5589.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	96d825cc83ad9aee65181e4a3e2360d583f3a636478a57303743153293d30b67	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0030	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0003_report.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	1f3843239d999b725c039b3f5ab23e36d8be88f98b08e5a3403a98c46a9338a7	golden-adaptive-incompatibility-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0031	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0003_tail_transport.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	b4c51d3f453b6480757f526216d61d37dbd51c886e58cfa327f39f55601a55f9	golden-theorem-iv-tail-transport-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0032	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0006_goldm1321.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	92adaafc95fe9a9dd8818f31b583fa25bb6177c78ac88b95a9e315044cec6522	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0033	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0006_goldm2134.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	6d0069d69c1bcd6be26652a16b5819fb619d4256bef97153e025e827a73ce922	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0034	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0006_goldm3455.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	9316ff70100fefad7fc756916d671da723ed7ece2577210b1a2c8bc5dec1b802	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0035	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0006_goldm5589.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	04ae39c930f50140b5f7092ffc9a2791fd6b6b682133f73330dafe79bcca7d9d	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0036	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0006_report.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	db45e15f6502cab6ead1c769959868ed72c7589f5ed85671f02292fc3a56ea7e	golden-adaptive-incompatibility-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0037	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_m0p0006_tail_transport.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	6d9d8b676605fae65131ac3f666ab5bda1c6347865f07ed5f9009bb65c9354d5	golden-theorem-iv-tail-transport-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0038	artifacts/final_discharge/stage_cache/theorem_iv_upper_support_core.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	3a7575e31355f6a901b08b80af03e11afa934ee908c21445a9b2f64ae6416da6	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0039	artifacts/final_discharge/stage_cache/theorem_iv_upper_tail_aware.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	4ce741183109e0e0cb2f3897541a3a392f425b8c8a846f6662b05a41f523b665	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0040	artifacts/final_discharge/stage_cache/theorem_iv_upper_tail_coherence.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	8dd6ff6ffb12ffc84062fb3af56521db3a568b6496041095794256fd679c1bbb	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0041	artifacts/final_discharge/stage_cache/theorem_iv_upper_tail_stability.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	4d0229d17eac0809aa20ef8f74af0d00e9b3826dd4fc42cbf2683851121ce5b1	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
